review,sentiment
I am extreamly dissapointd with this game.  Every section and mission is exactly the same with the exception of the location.  There is absolutly no skill involved in beating the game which i was able to do in 3 sittings. ,negative
"Really? Wow. So, players in real football go through other players torso's? They skate and glide around the field at 40MPH without moving their legs? WR's change direction on one foot, pivot, glide and elude tackles? Uh, ok.<br /><br />Anyone who plays this game on the All-madden level will notice right away that this is the furthest thing from a realistic football game.<br />What are the nerds at EA thinking? Do they ENJOY making a game who's AI constantly cheats? I love how they tout games that give the user more control when the user has very LITTLE CONTROL over anything that goes on in the game. I don't control if I catch it or drop it, or intercept it, or if my line blocks, of if my DB's cover their assignment...none of it. The COMPUTER makes my line miss blocks or not block at all...drop easy picks...drop easy catches, etc. And why, oh why, are DT's and LB's faster than my fastest WR? Is THAT realistic? The AI is terrible. It blatantly and UNrealistically cheats.<br /><br />Terrible game. Just stop making these games if this is your final product",negative
This game is a joke. It is the same exact game as the 2005 version with minimal additions. The online play is so glitchy and drops so often its not even worth the time. Do not go out and buy this game thinking that its better because of all the hype. If you want to play a great football game go get NFL 2K5 by 2KSports/Sega Sports. This game is 3 years old and blows Madden away any day of the week. In 2k5 you are able to go to roster manager and change your rosters to make them current. You can edit players and create rookies like Reggie Bush or Jerious Norwood and make the roster the same as the current 2007 NFL lineups. Madden bought the rights to be the only official Nfl game for the sole reason that Madden sucks and he wants to make all the money and not spend any money improving his game. Madden bought the rights to the Nfl trademak through 2010 so no other companies could make an official Nfl game and thats why there is no 2k7 or any other game football game for it to compete with. Thats why Blitz is the only other game and they cannot use Nfl players so they have to have a generic game without real players. I hate Madden with a passion. 2K Sports is the way to go for any sports game including football you just have to do some manual labor updating rosters but once you have it is current and still 10x better than Madden will ever be. DO NOT BUY THIS GAME!!!!!!!!!!!!!!!,negative
I swear if it wasn't that i liked final fantasy 7 and 8 so much i'd just break this game at then i'd move on and be happy. But i can't do that because that would be waste of money the only thing that kept me in the game was the fact that i did'nt want to waste money. This game makes kingdom hearts look like a M rated game. Oh my god this is so childish. You know how in most final fantasy games they try to make the main character cool they didn't feel like doing that in this one. You are a monkey-man! How stupid is that. Plus the other character are way more dumb looking that the main one im just happy i beat in and can put that awful exp. behind me. AHHHHHHHHHH,negative
"I have been an extremely devoted SMB fan since the very first time I laid eyes on it. I own ALL of them, and so when I stood in line all night Saturday (and through Sunday morning, 8am), I made sure to grab myself a copy of SMB: Banana Blitz for my brand new Wii. I bought an entire set of controllers, anticipating the mini-game fun with all my friends. (We're huge SMB fans, all of us. It always makes an appearance at our parties.)<br /><br />But now I'm really angry. They completely gutted our favorite mini-game(s), hitting Monkey Target worst of all. I can honestly say I don't care that there are 50 freakin mini-games, because now Monkey Target is completely worthless. Instead of the amazingly subtle game play with bonus items, increasingly difficult levels, magnets, velcro, double bonuses, wind speed and direction, and the all-import ramp run-off you have... a cannon, one level, no wind or wind direction, no bonuses, and no special items.<br /><br />Who cares if I can SORT of pilot a submarine on a single level? Monkey squash -- no joy there. A lot of the controls for the mini-games are terrible. And so on, so forth. The new mini games suck almost unilaterally, but gosh darn, there are 50 of them! But volume does not make up for lack of quality.<br /><br />I love traditional SMB levels and the ones on SMB: Banana Blitz are nice. The graphics are beautiful and fun. But the best part of the game for me and my friends, is now gone and dead. None of the reviews I'd read mentioned the fact that this favorite of most SMB players was killed like this, and if they had, I certainly wouldn't have wasted my $50 plus tax.<br /><br />If Sega people are reading this: BRING BACK MONKEY TARGET. That's what people play at parties when they're slightly drunk and sick of listening to Super Smash Brothers, and way too awake to enjoy Mario Party",negative
"  As was said in a earlier review the creators of final fantasy are giving us everything but what we actually asked for.  They gave us Advent Children, cell phone games, and finally Dirge of Cerberus.  This game is an action based game showing you a day in the life of the most under-used and least interesting character in the Final Fantasy Series.  Its the creators way of telling us that they will never re-make Final Fantasy VII but will rather insult us with every marketing ploy know to man",negative
"All of the people that gave this game a review of more than two stars are bs-ing you.  Those people are probably hardcore ff7 fans - that game was barely mediocre at best.  Other ff7 releases = advent children, cell phone game, and movie/tv show thing.  All three things, resectively, sucked.  Now comes, Dierge of Cerberus  whoop did eeee doo!!  The only reason why I rented it was because the title says, final fantasy in it.  The only redeeming quality of this game is the cutscenes - other than that, boring.  If you can get more than 20 minutes through the game, then by all means, it's the game for you",negative
"I really wanted to like this game.. unfortunately for me, it blows. I'd trade it for a migraine if I could. The gameplay is pretty horrible, the sword scenes are reminiscent of PC adventure games circa 1992, where you press the Attack key and  swing your sword aimlessly at the bad-guy. The run & gun part of the game is nothing to write home about either. It feels like being teleported into the body of a cracked-out, 1 legged, drunken monkey. <br /><br />Also, I know the graphics aren't the Wii's strong-point, but that is no excuse to regress back to 8-bit. When you're trying to shoot someone across the room, it really sucks when you can't tell them  apart from a flower pot.....or is that a lawn chair?<br /><br />The cut scene's were obviously supposed to look like Sin City. I stress the word SUPPOSED cause they were probably strung together by some poor intern after the development team went into hiding. They look like an amateur flash slide-show. Kinda like what your local mom & pop video editor would have put together if your little nephew had gotten his way and had a Sin City themed Bar Mitzvah.<br /><br />This game is a joke. Anybody associated with it should be embarrassed.",negative
I can't stand this game after 5 minutes. The game is so unresponsive its not funny.  The first board I wanted to throw my remote. My friend watching asked me what the hell was going on. I seriosly didn't move the remote at all and my guy starts spinning around. At first I thought maybe the control calibration is wrong but then I was playing trauma center before and after Red steel and not once did i have a problem with the controls. Seriously the worst game i ever played,negative
"This is a perfect example of false advertisement. If you're like the many that i've heard of trying to order a remote for the Playstation 2, Don't order this one unless you have a newer model. The picture shows an IR unit but it doesn't come with one. So save yourself the hassle and don't order this",negative
"I saw a DVD player at Target for $30 yesterday.  I especially don't see the need for the xbox 360 remote if it's $40!!  Space-saving, maybe???",negative
"A simple DVD player, as long as you or a friend own an X-box console. Simply push in a little plastic knob into the controler socket and their you go oyu know own a standard of the line DVD player.The maginfacation is great the rewind and fastfrward is great.<br /><br />It has all the extras a normal DVD player has and a easy to operate menu and layout.No overloads of pointless buttons just point out the obvious structer.You may be dissapointed in the response time, but that is not entirely the remote or players fault.If you own an old x-box console or a low memory X-box console  you may encounter slowness and maxed out freezing.Some mint condition titles may not even work.(I purchased Little Nicky sometime ago mint and to this date it still does not work on my X-box console)Batteries may play a roll.With out a doubt though this is the most easy and portable DVD player around with the acknowledgement of owning an X-box console first.<br />A must have for a gamer/movie lover wit ha large movie library or a constant renter",negative
"Hey kids, fire up the XBOX and lets watch this movie! <br /><br />That is what is heard through households that own an XBOX but for some reason or another they are still in the 90's and don't already have a DVD player. <br /><br />Like my title suggests, if you already have a DVD player, this is a waste of money. The only reason I purchased one is because my DVD player had problems playing some DVD-R's that I got from a friend. I had some money to burn so I just wanted to see if the XBOX DVD kit could play it to determine if the DVD was a bad burn or was it just my DVD player. I found that the XBOX was able to play the DVD-R's in question with no problem. However, aside from those two DVD-R's, all of the DVD's I own are bought from retail stores, so I really have no need to play DVD-R's, and my DVD player plays normal discs perfectly. <br /><br />With that being said, I only used XBOX's DVD playback kit once to watch the DVD-R's I had problems with. Because of the content of these burned movies, there is really no need to watch them again....... However if push comes to shove I can always use one of my PC's or Mac to watch the burned DVD; no need to use my XBOX for that. I meant to return the DVD kit the next day, but never got around to it. <br /><br />The XBOX's DVD player is a good feature, but the fact that Microsoft charges you to use the feature makes it not worth the money.....unless of course you don't have a DVD player at all.",negative
"My only experience with this product was after I opened it, and started to play a DVD in my Xbox, when I tried to pause it, it didn't work, and it had brand new batteries. I found (after much frustration) that if I smacked it against my hand a few times then it would work for about 2 minutes. I took it back to exchange for another in hopes that it was just a bad unit, but it was sold out so I just got my money back. You can buy a DVD player for not much more than this way overpriced piece of junk costs",negative
" DO NOT USE THIS <br />the dvd thing causes  the xbox to break. when u play games the disk doesnt constantly spin. it reads some and takes break so it doesnt over heat. when it reads a dvd, it must constantly spin. the dvd playback kit fryed my xbox. at most best buys you can buy a dvdplayer that functions better for less money than the one for xbox.",negative
"this just sucks the main person just keeps running around.<br />He just keeps running and or walking which is controlled thru the key board.no fwd bike control,he won't peddle, but gos backwards quite well.Tryed different setups reloads and nothing worked.<br />Atleast I bought it used and for not much money.Maybe ill find a fix and try it again later",negative
"I'm going to start this review by saying that I came to the Wii as a lifetime PC-only gamer. I have never felt the need to buy a console until the Wii and its fun controller system came out. The aspect I was most excited about was controlling first person shooters just as precisely and intuitively as the mouse and keyboard, together with the added entertainment of using it for other motion-activated actions within the game (rowing, throwing grenades, close combat, etc). As a result, after spending the night out in the cold to get my console, and flushed with excitement at seeing all the merchandise, I grabbed three games: Zelda (a no-brainer), Trauma Center, and Call of Duty 3. Of those three titles, I'm sorry to say that CoD 3 was the one to leave a bitter taste in my mouth.  <br /><br />As I have stated before, I am a PC gamer; I'm really into my hobby, and love the satisfaction of building a PC which can manage all the latest games. I played CoD 1 and 2 on the PC, and greatly enjoyed both. By far the biggest problem with the Wii version, however, especially as someone accustomed to playing on the computer, are the graphical shortcomings of the title. I literally had no idea what was going on. I could barely tell which direction the enemies were coming from and the only reason why I was going in the right direction was because of the linear construction of most of the levels. Added to this, I had no idea how to get rid of the first German to engage me in hand to hand combat (a much advertised feature, which is actually just an interactive cut-scene). I followed the instructions to wave my controllers around wildly, and although I worked myself into a frenzy (causing my dogs to panic and think something really was attacking me) that inevitable German (I tried throwing all my grenades into the room he hides in) kept clubbing me to death. Even beyond this setback, I found that the controls were often quite poorly implemented. It is also disappointing (yet speaks volumes) that the grenade 'throwing' function that involves you actually 'throwing' the nunchuck (without letting go, by the way, unless you've got a backup TV) is disabled by default; trying to use it usually gets you to miss your target/get cut down/ blow yourself up. For the record, I know that the Wii controller works. I've played many hours of other games already (as the system conveniently informs you). This just seems like a shoddy implementation of it.<br /><br />I can definitely tell you that there is a lot of ambition here to convey the frenzy of war, with some obvious strong attempts at creating absorbing combat scenes. Nevertheless, it essentially boils down to being a messy soup of blurry pixels which, even to my gameplay-over-graphics mentality in buying the Wii, blocks the enjoyability of this title. To be honest, it has made me think that WW2 isn't the best-suited area for the Wii. After all, these historical titles tend to rely a great deal on cinematically portraying the visceral splendor of war, rather then pushing exciting new gameplay elements. My advice on the FPS front: wait for the Wii 'Far Cry' game and see how that turns out. In the meantime, there are countless hours of other great titles more suited to the Wii graphics waiting for your attention. <br /><br />Before leaving you, I'd just like to clarify on thing: this is the perspective of someone who has very little experience with consoles. Perhaps you're reaction to the game will be very different if you come to the Wii straight from a gamecube instead of PC/high definition gaming.<br /><br />Oh, and if you're still determined to buy it, keep an eye out for my used copy of the game; I'm going to need the money for 'Banana Blitz'..",negative
"I haven't even got to play it yet because the game does not work on my PS2. After the PS2 logo comes up, the screen goes blank and nothing happens. I thought it was maybe just that disc, but I exchanged it and the same thing happened. I called Ubisoft and they said many people with the Slim PS2 have called to say it doesn't work, but they don't have any answers. Sony said that it is an error in the format of the discs, and it may not work in many PS2's. Do not buy if you don't want the risk of it not working!!!!",negative
"As one that couldn't stand NBA Ballers, I thought I would give this game a try.<br /><br />Pros: <br />create a baller<br />Nice graphics<br />Cons: <br />Defense? If you are a fan of Pheonix Sun basketball, you will love this game <br />The announcer needs to learn ENGLISH<br />The whole I-Ball Trick Stick is horrible and will have you sreaming as you're stuck on the second side game that is required before you can advance on And 1 tour<br />That stupid mic trick that allows you to score 4 points with one shot<br />Stupid Watch This Trick that you can't stop despite the fact that you can still move your player. You can't even block!<br />You can not choose who you want to face in other game modes unless you are playing two player. <br /><br />Guess which game I'll be trading for NBA Live 2007 or WWE Smackdown vs Raw 2007 this fall? <br />",negative
" Ok let me break itdown for you. The Game isn't all thatb great, infact it sucks on ice, but the only reason i am giving this game fear grade is because of the year. Really you really can't blame them that made this game. The Fact Is 2006 is one of the worst years. there just throwing all the game at your face and they arent really that great. we see about 90% of games and movies arent doing that good. so my suchest is wait to 2007 when the PS3 and the wii comes out. I Promise you that year want disoponte. So dont buy every thing in 06, wait till 07. Dont waiste your mone",negative
"why is it that 3rd party memory cards can store at least double the information that these can? These memory cards are way over priced. <br /><br />I love PS2. It's one of the best systems I have ever played and owned, but this memory card stuff is a scam. I already own 2 cards and I need more.",negative
"This is without a doubt the worste game I have ever purchased. It is basiclly one big empty landscape with about 16 or so bosses that you have to climb on to beat.<br /><br />They could have made this a decent game so easily just by puting in some minions and some characters to talk to and buy stuff from. As it is right now it's just a really, really, really, crappy version of Zelda: Orcarina of Time.<br /><br />If you have any respect for decent video games you will not buy this video game unless it is for the sole purpose of setting it on fire and stomping on it",negative
I gave it one star because there was no way to give it less.<br /><br />This game when played on the X Box was great.  So when it came out for PC I bought it.  BIG MISTAKE!  The control are too hard to learn.  And when you are in a battle you can't stop to think which keys when used together work. There are too many keys that you need to push together to do even the simplest thing.   <br /><br />I wasted my money on this game.  I deleted it and will never play it.  Don't waste your money,negative
"I ordered this from amazon, it shipped from 3btech.... and ive had no luck with it... the communicator its self is quite comfortable... but i cannot comment on the quality of the mic or the audio that comes through it because it will not charge... i called logitech tech support and the tech asked me the usual questions (is it plugged in, have you tried a different wall outlet, have you tried jiggling the plug at the communicator end, and so on) after all the questions the tech said that it was defective and that they were running dangerously low on stock of that particular one.   <br /><br />So i guess what im trying to say is order at ur own risk and i hope you have better luck with it than i did",negative
"ok first of all let me say that yes this mic has a nice look and feel to it..also being wireless it adds to its attractivness but over all this mic after a long time of wearing it can really hurt your ear....it becomes very uncomfortable to wear and has even given me headaches, being as how me and a friend needed a headset we both bought one...i no longer use this headset while my freind has no choice till he gets his 360 also, and to this day he constantly has to say hold up im switching my mic to my other ear cause this ear is starting to hurt with the 360 controller and headset being wireless and it becoming more availible just wait cause in the end this headset isnt worth the price and it wont be compatible for your 360",negative
"Have you played any of the games in the Doom series?  How about Metroid Prime? Medal of Honor? Golden Eye?  Well, then you've played Halo 2, also, because ALL First Person Shooter games are exactly the same.  I don't care how many times X-Box magazine (odd how the magazine that drools the most over an X-BOX game is the system's magazine.) calls it the greatest game of all time, I'd rather play Mario Power Tennis which was atrocious.<br /><br />The story is absolutely appauling in terms of a Science Fiction orientated theme, utterly mundane, unoriginal, boring and just all around unentertaining.  The gameplay is so generic that it's as if this was the first creation of some fresh out of college video game designer, the music is cliche, the voice acting is flat, and Master Chief is just an all around retard.<br /><br />The weapons, oh boy, the weapons, again another lame aspect of the game.  The alien's weapons are like something in the kid's toy gun section from Toys R Us, and the human guns are nothing that I haven't used in a Resident Evil game.<br /><br />When the first Halo came out I didn't get the big deal, I didn't even play it, then eventually I got myself an X-Box, and decided to give this installment a shot - huge mistake.  Come to think of it none of the games of X-box are even worth owning a system for: Fable was decent, but got old after beating it a few times, The Knights of the Old Republic series was boring, and everything else on X-Box I could play on PS2 or Gamecube",negative
"Halo 1 on steroids, Halo 2 is a clear Microsoft stamp on Bungie's creativity and control and it muddies up what was a balanced gameplay.  A hackneyed single player story that makes no sense, and has no flow, along with levels that aren't replayable.  You thought the Library from Halo1 was tedious?  Try the headache inducing map design in this game.  Also in the nonsense, the unneccesary switch to an Elite's perspective for half the game, along with a new group of Covenant bad guys that look like rejects from a Captain Planet cartoon.  Apes with mohawks, yeah, nice design.  I can only play one or two levels of the single player, and they are so noobish, it loses appeal quickly. <br /><br />On to Multiplayer.  Okay, in 2004 upon release, this was a great game.  It took time to go up in level, and the ranking system wasn't as abused as it is now.  Once new maps, kept on the harddrive (read mod kids) were released by Bungie, that opened the door to full blown chaos.  Now 2 years later, modding has died down somewhat, but a whole new slew of bridging and connection speed manipulation makes it roughly 25% likely you'll find a game with no lag.  So I still play on occasion, it's lame they can't offer dedicated servers so you can play your map of choice, choose servers with good connections, and then the modders and big gun noobs can find the type of game they want to play too.  I only pray Halo 3's multiplayer improves on this system, otherwise I'm done with the Xbox console permanently",negative
"Before I was even done with Final Fantasy VII, I ordered this game. I loved that game, and thought 'Say, if Final Fantasy VII is this good, then VIII must be even better!', boy was I wrong! I'm not bashing Final Fantasy VIII, I kind of liked the game, but there are big problems with it. First of all, the draw system is kind of hard, but I liked it, it was a change of pace, but the way you have to equip summon GFs (Guardian Force) was hard and boring. The music in the game reminds me of the music in the movie 'AKIRA', which is a bad thing, The characters in battle remind me of crash dummies, and the way that you get new weapons is by making them at junk shops! Not only that, but the characters are not very likeable.<br /><br />Main characters:<br /><br />Squall- A member of SeeD, he is a jerk to everybody.<br /><br />Zell-A member of SeeD, he is a surfer dude and a dunce.<br /><br />Quistis-A teacher and a member of SeeD, she seems to like Squall...for one reason or another...<br /><br />Seifer- Squall's rival, he is even worse then Squall.<br /><br />Rinoa- A member of 'The owls',Square soft ran out of ideas, she is just like Aeris.<br /><br />Selphie- A member of SeeD, she is a weird character and I was sad to see her in Kingdom hearts.<br /><br />Laguna- A Galbadian soldier. He is the best charecter in the game.<br /><br />Irvine-A member of SeeD, he is a lady's man and is recycled later in Final Fantasy IX as a better charecter known as Zidane.<br /><br />This game is the second worst Final Fantasy game ever made. The story is great, but playing it is so bad that its almost unbelivable. If Square soft remade this game for the PS2 or PSP, I would buy it, but only if they removed the draw system",negative
"This is by far the worst instance of overzealous copy protection I've ever experienced.  I bought this game new at a local store because I've been itching to play SimCity 4 but that game will not work with my new video card.  Got this game home and it installed just fine, but when it came time to launch the game, it said disc authentication failed.  Tried it with the other disc, failed again.  Went to the company's support forums and found a lot of other people with the same problem and no one had done anything to help them.  Thankfully the people at the store were very reasonable and gave me a full refund",negative
"Don't buy it unless you want the Starforce malware on your computer.  I understand publishers wanting to prevent piracy, but not at the expense of replacing the drivers I need(ed) for my DVD burner.  Check the search engines and see for yourself.  Would have otherwise been a great game, too bad it isn't playable because of this malware",negative
Starforce....nothing else need be said. Starforce singlehandly has destroyed a number of could be great games...I don't know since not a single one will play on a Dell XPS Gaming Laptop,negative
"I bought this game because it sounded like a lot of fun.  I tried installing it on my Dell laptop and no dice.  It would not run.  I tried installing it on my Dell desktop computer and again, it would not run.  When I went to the knowledge base, technical support lists that if you have an integrated video card, the game will not work on your system.  In short, if you have an over the counter system, you cannot run this game on your computer.  I find this ridiculous and disappointing.  I would not suggest buying this game until you go to their technical support page and go over all of the requirements for game play.  Especially since these little facts are not listed on the box",negative
"This game sucks.  It tries to be Sim City with extra features.  Unfortunately, the graphics are way below average.  In fact, some of the screens look like they were designed by a first year art student.  The Interface is clumsy and not intuitive.  I am a big fan of the Sim City series and this game really falls short",negative
